# Word list for a specific language.
# In this file, line starts with # (comments) and empty lines are ignored
# Word list is organize like this :	
# $GRAMMAR$ : describe how extract word and frequency from following list. 
# The grammar affect following lines, this way its possible to have several grammar in the file. 
# When a new grammar is found, it replace the actual grammar for the rest of list, until meet an other $GRAMMAR$ (or reach end of document)

# Default $GRAMMAR$ definition : 
$GRAMMAR$	<frequency>[SPACE]<word>
# Where :
# 		<frequency> is the place for the integer for frequency
# 		[SPACE] one or more "space characters" (Space, tabulation)
# 		<word> is the place for the "word"

# *****************************************
# ***   French word initial word list   ***
# *****************************************

$GRAMMAR$	<word>|<frequency>
adjacentattenant|1
adjacente|1
adjectif|1
adjective|1
adjoindre|1
adjoint|1
adjonction|1
adjudicataire|1
adjudicateur|1
adjudication|1
adjuger|1
adjuration|1
adjurer|1
adjuvant|1
adjuvante|1
admettant|1
admettre|1
administrateur|1
administratif|1
administration|1
administrativement|1
administratrice|1
administrer|1
administré|1
admirable|1
admirablement|1
admirables|1
admirateur|1
admiratif|1
admiration|1
admiratrice|1
admirer|1
admis|1
admise|1
admissibilité|1
admissible|1
admission|1
admonestation|1
admonester|1
admonition|1
adolescence|1
adolescent|1
adolescents|1
adonis|1
adonner|1
adoptable|1
adoptant|1
adopte|1
adopter|1
adoption|1
adorable|1
adorablement|1
adorables|1
adorateur|1
adoration|1
adorer|1
adoré|1
ados|1
adosser|1
adoubement|1
adouber|1
adouci|1
adoucir|1
adoucissage|1
adoucissant|1
adoucissement|1
adoucisseur|1
adressage|1
adresse|1
adresser|1
adret|1
adroit|1
adroite|1
adroitement|1
adulateur|1
adulation|1
adulatrice|1
aduler|1
adulte|1
adultisme|1
adultère|1
adultères|1
adultération|1
adultérer|1
adultérin|1
advenir|1
adventice|1
adventif|1
adversaire|1
adverse|1
adversité|1
adynamie|1
adynamique|1
adénome|1
adénopathie|1
adénoïde|1
adéquat|1
adéquatement|1
adéquation|1
adéquats|1
affabilité|1
affable|1
affablement|1
affabulation|1
affabuler|1
affacturage|1
affadir|1
affadissement|1
affaibli|1
affaiblir|1
affaiblissant|1
affaiblissement|1
affaire|1
affairement|1
affaires|1
affairé|1
affairée|1
affaissement|1
affaisser|1
affaitage|1
affaitement|1
affaité|1
affalement|1
affaler|1
affamer|1
affamé|1
affamée|1
affectation|1
affecte|1
affecter|1
affectif|1
affection|1
affectionne|1
affectionner|1
affectionné|1
affectionnée|1
affective|1
affectivement|1
affectivité|1
affectueuse|1
affectueusement|1
affectueux|1
affecté|1
affectée|1
affermage|1
affermer|1
affermi|1
affermir|1
affermissement|1
affichage|1
affiche|1
afficher|1
affiches|1
affichiste|1
affiché|1
affichée|1
affidé|1
affilage|1
affiler|1
affiliation|1
affilier|1
affilié|1
affiloir|1
affilé|1
affin|1
affinage|1
affinement|1
affiner|1
affinité|1
affiquet|1
affiquets|1
affirmant|1
affirmatif|1
affirmation|1
affirmativement|1
affirme|1
affirmer|1
affirmé|1
affirmée|1
affixe|1
affleurement|1
affleurer|1
afflictif|1
affliction|1
affligeant|1
affliger|1
affligé|1
afflouage|1
afflouement|1
afflouer|1
affluence|1
affluent|1
affluer|1
afflux|1
affolant|1
affolement|1
affoler|1
affolé|1
afforestation|1
affouage|1
affouillement|1
affouiller|1
affourcher|1
affranchi|1
affranchir|1
affranchissement|1
affranchisseuse|1
affranchit|1
affres|1
affreuse|1
affreusement|1
affreux|1
affriandant|1
affriander|1
affriolant|1
affrioler|1
affront|1
affrontement|1
affronter|1
affrètement|1
affréter|1
affréteur|1
affublement|1
affubler|1
affublé|1
affusion|1
affèterie|1
afférent|1
afféterie|1
affété|1
affût|1
affûtage|1
affûter|1
affûteur|1
affûtiaux|1
affûtoir|1
affûté|1
aficionado|1
afin|1
agace|1
agacement|1
agacer|1
agacerie|1
agacé|1
agame|1
agape|1
agapes|1
agar-agar|1
agaric|1
agaricacée|1
agaricinée|1
agasse|1
agate|1
agave|1
agaves|1
agaçant|1
agence|1
agencement|1
agencer|1
agences|1
agenceur|1
agencier|1
agencée|1
agenda|1
agenouillement|1
agenouiller|1
agenouilloir|1
agenouillé|1
agent|1
agent de change|1
agent de maîtrise|1
agente|1
agençant|1
aggiornamento|1
agglomérat|1
agglomération|1
agglomérer|1
aggloméré|1
agglutinant|1
agglutination|1
agglutiner|1
agglutinine|1
aggravant|1
aggravation|1
aggrave|1
aggraver|1
agile|1
agilement|1
agilité|1
agio|1
agiotage|1
agioter|1
agioteur|1
agir|1
agissant|1
agissante|1
agissement|1
agissements|1
agitateur|1
agitation|1
agitatrice|1
agiter|1
agité|1
agitée|1
agnat|1
agnathe|1
agneau|1
agnel|1
agnelage|1
agneler|1
agnelet|1
agnelle|1
agnosie|1
agnosique|1
agnosticisme|1
agnostique|1
agnus-castus|1
agnèlement|1
agonie|1
agonir|1
agonisant|1
agoniser|1
agora|1
agrafage|1
agrafe|1
agrafer|1
agrafes|1
agrafé|1
agraire|1
agrairien|1
agrairienne|1
agrandir|1
agrandissement|1
agrandisseur|1
agranulocytose|1
agrarien|1
agrarienne|1
agresser|1
agresseur|1
agressif|1
agressifs|1
agression|1
agressive|1
agressivement|1
agressivité|1
agreste|1
agricole|1
agriculteur|1
agricultrice|1
agriculture|1
agriffer|1
agrile|1
agrion|1
agriote|1
agripaume|1
agripper|1
agrippé|1
agrobiologie|1
agrobiologique|1
agrochimie|1
agrochimique|1
agronome|1
agronomie|1
agronomique|1
agropyrum|1
agrostide|1
agrostis|1
agrume|1
agrumiculture|1
agrès|1
agréable|1
agréablement|1
agréage|1
agréation|1
agréer|1
agrégat|1
agrégatif|1
agrégation|1
agrégative|1
agréger|1
agrément|1
agrémentent|1
agrémenter|1
agrémenté|1
agréé|1
aguerri|1
aguerrir|1
aguets|1
aguichant|1
aguiche|1
aguicher|1
aguicheur|1
aguicheuse|1
aguiché|1
agé|1
agénésie|1
ahan|1
ahanant|1
ahanement|1
ahaner|1
ahuri|1
ahurir|1
ahurissant|1
ahurissement|1
aiche|1
aicher|1
aidant|1
aide|1
aide-mémoire|1
aider|1
aidé|1
aidée|1
aigage|1
aigle|1
aigle de mer|1
aiglefin|1
aiglon|1
aigre|1
aigrefin|1
aigrelet|1
aigrelette|1
aigrement|1
aigrette|1
aigreur|1
aigri|1
aigrir|1
aigrit|1
aigu|1
aiguage|1
aiguail|1
aigue-marine|1
aiguerie|1
aigues-marines|1
aiguillade|1
aiguillage|1
aiguillat|1
aiguille|1
aiguiller|1
aiguillette|1
aiguilleur|1
aiguillon|1
aiguillonner|1
aiguisage|1
aiguiser|1
aiguiseur|1
aiguisoir|1
aiguisé|1
aiguière|1
ail|1
aile|1
aileron|1
ailette|1
aillade|1
aille|1
aillent|1
ailler|1
ailles|1
ailleurs|1
ailloli|1
aillé|1
ailé|1
aimable|1
aimablement|1
aimables|1
aimant|1
aimantation|1
aimanter|1
aimanté|1
aime|1
aimer|1
aimé|1
ainsi|1
air|1
air conditionné|1
airain|1
airbag|1
aire|1
airelle|1
airer|1
ais|1
aisance|1
aise|1
aisseau|1
aisseaux|1
aissette|1
aisy|1
aisé|1
aisément|1
ait|1
aizy|1
ajointer|1
ajour|1
ajourer|1
ajournement|1
ajourner|1
ajourné|1
ajouré|1
